Variable,Hour,WRF_RMSE,WRF_Bias,WRF_MAE,Pred_RMSE,Pred_Bias,Pred_MAE,WRF_PCC,Pred_PCC
SLP,19,0.91428375,-0.2665502,0.70835704,0.80904686,-0.16506995,0.6253861,,
SLP,20,0.9592022,-0.17983562,0.7401041,0.8399214,-0.0956537,0.6460084,,
SLP,21,0.95090455,-0.14793271,0.7337616,0.85706013,-0.08825034,0.6664967,,
SLP,22,0.9936979,-0.2553771,0.7686813,0.87702537,-0.19204572,0.67822605,,
SLP,23,1.0209982,-0.28496093,0.77964014,0.9089952,-0.1843151,0.68877196,,
SLP,24,0.97455114,-0.2371226,0.7529377,0.89223784,-0.12515636,0.6772187,,
SLP,Avg,0.81307024,-0.15704902,0.6331423,0.768166,-0.10051075,0.59646446,0.9774952203907852,0.979011792612783
U10,1,1.3173634,-0.15614852,0.9677377,1.0717905,0.21857782,0.7964596,,
U10,2,1.4527637,-0.22220579,1.1149372,1.0990477,0.13263403,0.8132264,,
U10,3,1.520534,-0.2742591,1.1733485,1.1015986,0.10295612,0.8106307,,
U10,4,1.5401853,-0.2672991,1.1795224,1.1163527,0.089256026,0.8207458,,
U10,5,1.5161314,-0.29581124,1.1568276,1.0808228,0.051653937,0.8026898,,
U10,6,1.4980146,-0.30027097,1.1377605,1.0997066,0.088236205,0.80543876,,
U10,7,1.4950466,-0.28961715,1.133511,1.1001817,0.06821492,0.8034321,,
U10,8,1.5145761,-0.24188955,1.1548375,1.1159943,0.04216982,0.81806403,,
U10,9,1.5374526,-0.2094196,1.1679506,1.1473061,0.088581406,0.8473631,,
U10,10,1.5621325,-0.17232373,1.1819531,1.1970222,0.1275139,0.877814,,
U10,11,1.5663973,-0.20662218,1.1781343,1.2031883,0.08656743,0.882103,,
U10,12,1.5225043,-0.26059884,1.1472199,1.1852764,0.07740419,0.8667993,,
U10,13,1.5383973,-0.24077189,1.1655399,1.1944076,0.07566128,0.8802612,,
U10,14,1.5785983,-0.23120996,1.202969,1.2071115,0.049830593,0.89400536,,
U10,15,1.610369,-0.19824041,1.2312222,1.2260245,0.0751254,0.90706474,,
U10,16,1.6338043,-0.17014134,1.2435093,1.2319702,0.117796555,0.9112847,,
U10,17,1.6329285,-0.2757992,1.2280899,1.2130722,0.0030460013,0.8933146,,
U10,18,1.5890766,-0.36830285,1.2061216,1.1899241,0.02175837,0.87124085,,
U10,19,1.604283,-0.3801275,1.2131994,1.2004274,0.029171148,0.8792531,,
U10,20,1.6331196,-0.38042256,1.2346755,1.2202762,0.012561248,0.8913061,,
U10,21,1.667313,-0.37173465,1.259387,1.2441394,0.012630348,0.90637743,,
U10,22,1.6970896,-0.32832587,1.2684243,1.2468941,0.078871444,0.906423,,
U10,23,1.7067158,-0.3411252,1.2701014,1.2488465,0.063826926,0.9131878,,
U10,24,1.6905799,-0.36224324,1.262908,1.2503531,0.07817969,0.91214603,,
U10,Avg,1.5677241,-0.2727046,1.186662,1.1746556,0.07467603,0.862943,0.8328671992753607,0.8642897885963405
V10,1,1.444644,-0.05573618,1.0559978,1.1233361,-0.07257251,0.846487,,
V10,2,1.5173887,-0.06414708,1.1400322,1.0769114,-0.058773022,0.80842644,,
V10,3,1.5654982,-0.05397842,1.1935468,1.0597736,-0.029109692,0.79783165,,
V10,4,1.6109568,-0.0074111405,1.2338253,1.0506114,-0.0069581224,0.7888818,,
V10,5,1.5930349,0.053877775,1.2150092,1.042722,-0.010683743,0.78192353,,
V10,6,1.6021837,0.077391654,1.2257822,1.0494367,0.008333274,0.78805435,,
V10,7,1.6313868,0.103635915,1.254912,1.0715082,0.02273414,0.80180806,,
